CODIGO_DE_LA_INSTITUCION,IES_PADRE,INSTITUCION_DE_EDUCACION_SUPERIOR_IES,PRINCIPAL_O_SECCIONAL,ID_SECTOR_IES,SECTOR_IES,ID_CARACTER,CARACTER_IES,CODIGO_DEL_DEPARTAMENTO_IES,DEPARTAMENTO_DE_DOMICILIO_DE_LA_IES,CODIGO_DEL_MUNICIPIO,MUNICIPIO_DE_DOMICILIO_DE_LA_IES,CODIGO_SNIES_PROGRAMA,PROGRAMA_ACADEMICO,ID_NIVEL_ACADEMICO,NIVEL_ACADEMICO,ID_NIVEL_DE_FORMACION,NIVEL_DE_FORMACION,ID_METODOLOGIA,METODOLOGIA,ID_AREA,AREA_DE_CONOCIMIENTO,ID_NUCLEO,NUCLEO_BASICO_DEL_CONOCIMIENTO_NBC,CODIGO_DEL_DEPARTAMENTO_PROGRAMA,DEPARTAMENTO_DE_OFERTA_DEL_PROGRAMA,CODIGO_DEL_MUNICIPIO_PROGRAMA,MUNICIPIO_DE_OFERTA_DEL_PROGRAMA,ID_SEXO,SEXO,ANO,SEMESTRE,GRADUADOS
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,54674,TECNOLOGIA EN DISEÑO GRAFICO,1,PREGRADO,5,Tecnológica,1,Presencial,2,Bellas artes,27,Diseño,68,SANTANDER,68679,SAN GIL,1,Hombre,2018,2,1
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,54674,TECNOLOGIA EN DISEÑO GRAFICO,1,PREGRADO,5,Tecnológica,1,Presencial,2,Bellas artes,27,Diseño,68,SANTANDER,68679,SAN GIL,2,Mujer,2018,1,3
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,54814,ESPECIALIZACIÓN EN GERENCIA INTEGRAL DE PROYECTOS,2,POSGRADO,1,Especialización Universitaria,1,Presencial,6,"Economía, administración, contaduría y afines",69,Administración,68,SANTANDER,68001,BUCARAMANGA,1,Hombre,2018,1,5
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,54814,ESPECIALIZACIÓN EN GERENCIA INTEGRAL DE PROYECTOS,2,POSGRADO,1,Especialización Universitaria,1,Presencial,6,"Economía, administración, contaduría y afines",69,Administración,68,SANTANDER,68001,BUCARAMANGA,1,Hombre,2018,2,9
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,54814,ESPECIALIZACIÓN EN GERENCIA INTEGRAL DE PROYECTOS,2,POSGRADO,1,Especialización Universitaria,1,Presencial,6,"Economía, administración, contaduría y afines",69,Administración,68,SANTANDER,68001,BUCARAMANGA,2,Mujer,2018,1,9
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,54814,ESPECIALIZACIÓN EN GERENCIA INTEGRAL DE PROYECTOS,2,POSGRADO,1,Especialización Universitaria,1,Presencial,6,"Economía, administración, contaduría y afines",69,Administración,68,SANTANDER,68001,BUCARAMANGA,2,Mujer,2018,2,6
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,54814,ESPECIALIZACIÓN EN GERENCIA INTEGRAL DE PROYECTOS,2,POSGRADO,1,Especialización Universitaria,1,Presencial,6,"Economía, administración, contaduría y afines",69,Administración,68,SANTANDER,68081,BARRANCABERMEJA,1,Hombre,2018,1,1
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,90364,PSICOLOGÍA,1,PREGRADO,6,Universitaria,1,Presencial,5,Ciencias sociales y humanas,566,Psicología,68,SANTANDER,68001,BUCARAMANGA,1,Hombre,2018,1,8
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,90364,PSICOLOGÍA,1,PREGRADO,6,Universitaria,1,Presencial,5,Ciencias sociales y humanas,566,Psicología,68,SANTANDER,68001,BUCARAMANGA,1,Hombre,2018,2,12
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,90364,PSICOLOGÍA,1,PREGRADO,6,Universitaria,1,Presencial,5,Ciencias sociales y humanas,566,Psicología,68,SANTANDER,68001,BUCARAMANGA,2,Mujer,2018,1,30
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,90364,PSICOLOGÍA,1,PREGRADO,6,Universitaria,1,Presencial,5,Ciencias sociales y humanas,566,Psicología,68,SANTANDER,68001,BUCARAMANGA,2,Mujer,2018,2,47
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,90379,DISEÑO INDUSTRIAL,1,PREGRADO,6,Universitaria,1,Presencial,2,Bellas artes,27,Diseño,68,SANTANDER,68001,BUCARAMANGA,1,Hombre,2018,1,7
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,90379,DISEÑO INDUSTRIAL,1,PREGRADO,6,Universitaria,1,Presencial,2,Bellas artes,27,Diseño,68,SANTANDER,68001,BUCARAMANGA,1,Hombre,2018,2,13
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,90379,DISEÑO INDUSTRIAL,1,PREGRADO,6,Universitaria,1,Presencial,2,Bellas artes,27,Diseño,68,SANTANDER,68001,BUCARAMANGA,2,Mujer,2018,1,6
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,90379,DISEÑO INDUSTRIAL,1,PREGRADO,6,Universitaria,1,Presencial,2,Bellas artes,27,Diseño,68,SANTANDER,68001,BUCARAMANGA,2,Mujer,2018,2,7
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,90461,PUBLICIDAD,1,PREGRADO,6,Universitaria,1,Presencial,2,Bellas artes,26,Publicidad y afines,68,SANTANDER,68001,BUCARAMANGA,1,Hombre,2018,1,2
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,90461,PUBLICIDAD,1,PREGRADO,6,Universitaria,1,Presencial,2,Bellas artes,26,Publicidad y afines,68,SANTANDER,68001,BUCARAMANGA,1,Hombre,2018,2,6
2847,2847,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Principal,2,PRIVADA,4,Universidad,68,SANTANDER,68001,BUCARAMANGA,90461,PUBLICIDAD,1,PREGRADO,6,Universitaria,1,Presencial,2,Bellas artes,26,Publicidad y afines,68,SANTANDER,68001,BUCARAMANGA,2,Mujer,2018,1,5
