CODIGO_DE_LA_INSTITUCION,IES_PADRE,INSTITUCION_DE_EDUCACION_SUPERIOR_IES,PRINCIPAL_O_SECCIONAL,ID_SECTOR_IES,SECTOR_IES,ID_CARACTER,CARACTER_IES,CODIGO_DEL_DEPARTAMENTO_IES,DEPARTAMENTO_DE_DOMICILIO_DE_LA_IES,CODIGO_DEL_MUNICIPIO_IES,MUNICIPIO_DE_DOMICILIO_DE_LA_IES,CODIGO_SNIES_PROGRAMA,PROGRAMA_ACADEMICO,ID_NIVEL_ACADEMICO,NIVEL_ACADEMICO,ID_NIVEL_DE_FORMACION,NIVEL_DE_FORMACION,ID_METODOLOGIA,METODOLOGIA,ID_AREA,AREA_DE_CONOCIMIENTO,ID_NUCLEO,NUCLEO_BASICO_DEL_CONOCIMIENTO_NBC,CODIGO_DEL_DEPARTAMENTO_PROGRAMA,DEPARTAMENTO_DE_OFERTA_DEL_PROGRAMA,CODIGO_DEL_MUNICIPIO_PROGRAMA,MUNICIPIO_DE_OFERTA_DEL_PROGRAMA,ID_SEXO,SEXO,ANO,SEMESTRE,MATRICULADOS_2018
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102349,TECNOLOGÍA EN DISEÑO DE PRODUCTOS INDUSTRIALES,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",830,Ingeniería industrial y afines,76,VALLE DEL CAUCA,76001,CALI,1,Hombre,2018,1,112
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102349,TECNOLOGÍA EN DISEÑO DE PRODUCTOS INDUSTRIALES,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",830,Ingeniería industrial y afines,76,VALLE DEL CAUCA,76001,CALI,2,Mujer,2018,1,60
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102349,TECNOLOGÍA EN DISEÑO DE PRODUCTOS INDUSTRIALES,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",830,Ingeniería industrial y afines,76,VALLE DEL CAUCA,76520,PALMIRA,1,Hombre,2018,1,41
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102349,TECNOLOGÍA EN DISEÑO DE PRODUCTOS INDUSTRIALES,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",830,Ingeniería industrial y afines,76,VALLE DEL CAUCA,76520,PALMIRA,2,Mujer,2018,1,19
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",5,ANTIOQUIA,5001,MEDELLÍN,1,Hombre,2018,1,543
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",5,ANTIOQUIA,5001,MEDELLÍN,2,Mujer,2018,1,116
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",5,ANTIOQUIA,5045,APARTADÓ,1,Hombre,2018,1,456
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",5,ANTIOQUIA,5045,APARTADÓ,2,Mujer,2018,1,68
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",5,ANTIOQUIA,5129,CALDAS,1,Hombre,2018,1,116
9110,9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Principal,1,OFICIAL,2,Institución Tecnológica,11,BOGOTA D.C,11001,BOGOTA D.C.,102350,TECNOLOGÍA EN MANTENIMIENTO DE EQUIPOS DE CÓMPUTO DISEÑO E INSTALACIÓN DE CABLEADO ESTRUCTURADO,1,PREGRADO,5,Tecnológica,1,Presencial,8,"Ingeniería, arquitectura, urbanismo y afines",827,"Ingeniería de sistemas, telemática y afines",5,ANTIOQUIA,5129,CALDAS,2,Mujer,2018,1,34
