CODIGO_DE_LA_INSTITUCION,IES_PADRE,INSTITUCION_DE_EDUCACION_SUPERIOR_IES,PRINCIPAL_O_SECCIONAL,ID_SECTOR_IES,SECTOR_IES,ID_CARACTER,CARACTER_IES,CODIGO_DEL_DEPARTAMENTO_IES,DEPARTAMENTO_DE_DOMICILIO_DE_LA_IES,CODIGO_DEL_MUNICIPIO,MUNICIPIO_DE_DOMICILIO_DE_LA_IES,CODIGO_SNIES_PROGRAMA,PROGRAMA_ACADEMICO,ID_NIVEL_ACADEMICO,NIVEL_ACADEMICO,ID_NIVEL_DE_FORMACION,NIVEL_DE_FORMACION,ID_METODOLOGIA,METODOLOGIA,ID_AREA,AREA_DE_CONOCIMIENTO,ID_NUCLEO,NUCLEO_BASICO_DEL_CONOCIMIENTO_NBC,ID_CINE_CAMPO_AMPLIO,DESC_CINE_CAMPO_AMPLIO,ID_CINE_CAMPO_ESPECIFICO,DESC_CINE_CAMPO_ESPECIFICO,ID_CINE_CODIGO_DETALLADO,DESC_CINE_CODIGO_DETALLADO,CODIGO_DEL_DEPARTAMENTO_PROGRAMA,DEPARTAMENTO_DE_OFERTA_DEL_PROGRAMA,CODIGO_DEL_MUNICIPIO_PROGRAMA,MUNICIPIO_DE_OFERTA_DEL_PROGRAMA,ID_SEXO,SEXO,ANO,SEMESTRE,GRADUADOS
1202,1202,UNIVERSIDAD DEL ATLANTICO,PRINCIPAL,1,OFICIAL,4,UNIVERSIDAD,8,ATLÁNTICO,8001,BARRANQUILLA,54887,Maestría en Biología,2,POSGRADO,2,MAESTRÍA,1,PRESENCIAL,9,MATEMÁTICAS Y CIENCIAS NATURALES,934,"BIOLOGÍA, MICROBIOLOGÍA Y AFINES",5,"CIENCIAS NATURALES, MATEMÁTICAS Y ESTADÍSTICA",51,CIENCIAS BIOLÓGICAS Y AFINES,511,BIOLOGÍA,8,ATLÁNTICO,8001,BARRANQUILLA,2,MUJER,2019,1,1
1202,1202,UNIVERSIDAD DEL ATLANTICO,PRINCIPAL,1,OFICIAL,4,UNIVERSIDAD,8,ATLÁNTICO,8001,BARRANQUILLA,9897,ARTE DRAMÁTICO,1,PREGRADO,6,UNIVERSITARIA,1,PRESENCIAL,2,BELLAS ARTES,25,ARTES REPRESENTATIVAS,2,ARTE Y HUMANIDADES,21,ARTES,215,MÚSICA Y ARTES ESCÉNICAS,8,ATLÁNTICO,8001,BARRANQUILLA,2,MUJER,2019,1,1
1202,1202,UNIVERSIDAD DEL ATLANTICO,PRINCIPAL,1,OFICIAL,4,UNIVERSIDAD,8,ATLÁNTICO,8001,BARRANQUILLA,11944,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN HUMANIDADES Y LENGUA CASTELLANA,1,PREGRADO,6,UNIVERSITARIA,1,PRESENCIAL,3,CIENCIAS DE LA EDUCACIÓN,313,EDUCACIÓN,1,EDUCACIÓN,11,EDUCACIÓN,113,FORMACIÓN PARA DOCENTES SIN ASIGNATURA DE ESPECIALIZACIÓN,8,ATLÁNTICO,8001,BARRANQUILLA,1,HOMBRE,2019,1,1
1811,1806,UNIVERSIDAD LIBRE,SECCIONAL,2,PRIVADA,4,UNIVERSIDAD,68,SANTANDER,68755,SOCORRO,55080,ESPECIALIZACION EN DERECHO PENAL,2,POSGRADO,1,ESPECIALIZACIÓN UNIVERSITARIA,1,PRESENCIAL,5,CIENCIAS SOCIALES Y HUMANAS,559,DERECHO Y AFINES,4,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,42,DERECHO,421,DERECHO,68,SANTANDER,68755,SOCORRO,2,MUJER,2019,2,1
1811,1806,UNIVERSIDAD LIBRE,SECCIONAL,2,PRIVADA,4,UNIVERSIDAD,68,SANTANDER,68755,SOCORRO,103755,ESPECIALIZACIÓN EN DERECHO DE FAMILIA,2,POSGRADO,1,ESPECIALIZACIÓN UNIVERSITARIA,1,PRESENCIAL,5,CIENCIAS SOCIALES Y HUMANAS,559,DERECHO Y AFINES,4,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,42,DERECHO,421,DERECHO,68,SANTANDER,68755,SOCORRO,1,HOMBRE,2019,2,2
1811,1806,UNIVERSIDAD LIBRE,SECCIONAL,2,PRIVADA,4,UNIVERSIDAD,68,SANTANDER,68755,SOCORRO,53019,ESPECIALIZACION EN GERENCIA EMPRESARIAL,2,POSGRADO,1,ESPECIALIZACIÓN UNIVERSITARIA,1,PRESENCIAL,6,"ECONOMÍA, ADMINISTRACIÓN, CONTADURÍA Y AFINES",69,ADMINISTRACIÓN,4,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,41,EDUCACIÓN COMERCIAL Y ADMINISTRACIÓN,413,GESTIÓN Y ADMINISTRACIÓN,68,SANTANDER,68755,SOCORRO,2,MUJER,2019,2,2
1811,1806,UNIVERSIDAD LIBRE,SECCIONAL,2,PRIVADA,4,UNIVERSIDAD,68,SANTANDER,68755,SOCORRO,4671,ESPECIALIZACION EN DERECHO ADMINISTRATIVO,2,POSGRADO,1,ESPECIALIZACIÓN UNIVERSITARIA,1,PRESENCIAL,5,CIENCIAS SOCIALES Y HUMANAS,559,DERECHO Y AFINES,4,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,42,DERECHO,421,DERECHO,68,SANTANDER,68755,SOCORRO,1,HOMBRE,2019,1,13
1811,1806,UNIVERSIDAD LIBRE,SECCIONAL,2,PRIVADA,4,UNIVERSIDAD,68,SANTANDER,68755,SOCORRO,54817,ESPECIALIZACION EN DERECHO CONSTITUCIONAL,2,POSGRADO,1,ESPECIALIZACIÓN UNIVERSITARIA,1,PRESENCIAL,5,CIENCIAS SOCIALES Y HUMANAS,559,DERECHO Y AFINES,4,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,42,DERECHO,421,DERECHO,68,SANTANDER,68755,SOCORRO,2,MUJER,2019,1,7
1811,1806,UNIVERSIDAD LIBRE,SECCIONAL,2,PRIVADA,4,UNIVERSIDAD,68,SANTANDER,68755,SOCORRO,14042,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,1,PREGRADO,6,UNIVERSITARIA,1,PRESENCIAL,3,CIENCIAS DE LA EDUCACIÓN,313,EDUCACIÓN,1,EDUCACIÓN,11,EDUCACIÓN,113,FORMACIÓN PARA DOCENTES SIN ASIGNATURA DE ESPECIALIZACIÓN,68,SANTANDER,68755,SOCORRO,1,HOMBRE,2019,1,1
1811,1806,UNIVERSIDAD LIBRE,SECCIONAL,2,PRIVADA,4,UNIVERSIDAD,68,SANTANDER,68755,SOCORRO,53019,ESPECIALIZACION EN GERENCIA EMPRESARIAL,2,POSGRADO,1,ESPECIALIZACIÓN UNIVERSITARIA,1,PRESENCIAL,6,"ECONOMÍA, ADMINISTRACIÓN, CONTADURÍA Y AFINES",69,ADMINISTRACIÓN,4,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,41,EDUCACIÓN COMERCIAL Y ADMINISTRACIÓN,413,GESTIÓN Y ADMINISTRACIÓN,68,SANTANDER,68755,SOCORRO,1,HOMBRE,2019,1,5
