CODIGO_DE_LA_INSTITUCION,IES_PADRE,INSTITUCION_DE_EDUCACION_SUPERIOR_IES,PRINCIPAL_O_SECCIONAL,ID_SECTOR_IES,SECTOR_IES,ID_CARACTER,CARACTER_IES,CODIGO_DEL_DEPARTAMENTO_IES,DEPARTAMENTO_DE_DOMICILIO_DE_LA_IES,CODIGO_DEL_MUNICIPIO_IES,MUNICIPIO_DE_DOMICILIO_DE_LA_IES,CODIGO_SNIES_PROGRAMA,PROGRAMA_ACADEMICO,ID_NIVEL_ACADEMICO,NIVEL_ACADEMICO,ID_NIVEL_DE_FORMACION,NIVEL_DE_FORMACION,ID_METODOLOGIA,METODOLOGIA,ID_AREA,AREA_DE_CONOCIMIENTO,ID_NUCLEO,NUCLEO_BASICO_DEL_CONOCIMIENTO_NBC,ID_CINE_CAMPO_AMPLIO_DESC,CINE_CAMPO_AMPLIO,ID_CINE_CAMPO_ESPECIFICO,DESC_CINE_CAMPO_ESPECIFICO,ID_CINE_CODIGO_DETALLADO,DESC_CINE_CODIGO_DETALLADO,CODIGO_DEL_DEPARTAMENTO_PROGRAMA,DEPARTAMENTO_DE_OFERTA_DEL_PROGRAMA,CODIGO_DEL_MUNICIPIO_PROGRAMA,MUNICIPIO_DE_OFERTA_DEL_PROGRAMA,ID_SEXO,SEXO,ANO,SEMESTRE,GRADUADOS
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",6,CINE Y TELEVISION,1,PREGRADO,6,Universitaria,1,Presencial,2,Bellas artes,24,"Artes plásticas, visuales y afines",2,Arte y Humanidades,21,Artes,211,Técnicas audiovisuales y producción para medios de comunicación,11,Bogotá D.C.,11001,"Bogotá, D.C.",1,Hombre,2020,1,9
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",6,CINE Y TELEVISION,1,PREGRADO,6,Universitaria,1,Presencial,2,Bellas artes,24,"Artes plásticas, visuales y afines",2,Arte y Humanidades,21,Artes,211,Técnicas audiovisuales y producción para medios de comunicación,11,Bogotá D.C.,11001,"Bogotá, D.C.",1,Hombre,2020,2,5
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",6,CINE Y TELEVISION,1,PREGRADO,6,Universitaria,1,Presencial,2,Bellas artes,24,"Artes plásticas, visuales y afines",2,Arte y Humanidades,21,Artes,211,Técnicas audiovisuales y producción para medios de comunicación,11,Bogotá D.C.,11001,"Bogotá, D.C.",2,Mujer,2020,1,3
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",6,CINE Y TELEVISION,1,PREGRADO,6,Universitaria,1,Presencial,2,Bellas artes,24,"Artes plásticas, visuales y afines",2,Arte y Humanidades,21,Artes,211,Técnicas audiovisuales y producción para medios de comunicación,11,Bogotá D.C.,11001,"Bogotá, D.C.",2,Mujer,2020,2,3
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",7,ENFERMERIA,1,PREGRADO,6,Universitaria,1,Presencial,4,Ciencias de la salud,441,Enfermería,9,Salud y Bienestar,91,Salud,913,Enfermería y partería,11,Bogotá D.C.,11001,"Bogotá, D.C.",1,Hombre,2020,1,13
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",7,ENFERMERIA,1,PREGRADO,6,Universitaria,1,Presencial,4,Ciencias de la salud,441,Enfermería,9,Salud y Bienestar,91,Salud,913,Enfermería y partería,11,Bogotá D.C.,11001,"Bogotá, D.C.",1,Hombre,2020,2,2
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",7,ENFERMERIA,1,PREGRADO,6,Universitaria,1,Presencial,4,Ciencias de la salud,441,Enfermería,9,Salud y Bienestar,91,Salud,913,Enfermería y partería,11,Bogotá D.C.,11001,"Bogotá, D.C.",2,Mujer,2020,1,25
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",8,FISIOTERAPIA,1,PREGRADO,6,Universitaria,1,Presencial,4,Ciencias de la salud,442,Terapias,9,Salud y Bienestar,91,Salud,915,"Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines",11,Bogotá D.C.,11001,"Bogotá, D.C.",1,Hombre,2020,2,6
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",8,FISIOTERAPIA,1,PREGRADO,6,Universitaria,1,Presencial,4,Ciencias de la salud,442,Terapias,9,Salud y Bienestar,91,Salud,915,"Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines",11,Bogotá D.C.,11001,"Bogotá, D.C.",2,Mujer,2020,1,1
1101,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,1,OFICIAL,4,Universidad,11,Bogotá D.C.,11001,"Bogotá, D.C.",8,FISIOTERAPIA,1,PREGRADO,6,Universitaria,1,Presencial,4,Ciencias de la salud,442,Terapias,9,Salud y Bienestar,91,Salud,915,"Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines",11,Bogotá D.C.,11001,"Bogotá, D.C.",2,Mujer,2020,2,15
